group_name,type,enabled,note
22/17 Đại Nghĩa F6 Tân Bình,source,1,
"220 Nguyễn Phúc Nguyên, Phường Nhiêu Lộc",source,1,
"221 Tân Sơn, P15, Tân Bình",source,1,
224 Phạm Ngũ Lão - Ngã 6 Gò Vấp PIKA,source,1,
"2252/22A Quốc lộ 1, KP1, Q12",source,1,
22B/9 Lam Sơn - Tân Bình,source,1,
"22E, Đường 14, P5, Gv",source,1,
23 Yên Thế P2 Tân Bình - Sân Bay,source,1,
"235/63,79 nam kỳ khởi nghĩa",source,1,
"237/65 Phạm Văn Chiêu, P14, GV - PIKA HOUSE",source,1,
"238/6-8 Hoàng Văn Thu P4, Tân Bình",source,1,
245 Phan Van Tri - Binh Thanh,source,1,
"248/23/1 Nguyễn Thái Bình, Tân Bình",source,1,
"24P - 22 Đường Số 30, P.Linh Đông Thủ Đức",source,1,
25/10 Cửu Long . Phường 2 . Tân Bình,source,1,
"25/12/30 Bùi Quang Là, P12, Q. Gò Vấp",source,1,
25/19 Đường 38 ( Khu Biệt Thự NAGGECO) Quận 2,source,1,
25/28 Lê Duy Nhuận 12 Tân Bình,source,1,
25/5A Giải Phóng - Tân Bình - SEAMON,source,1,
"254 HOÀ HƯNG , PHƯỜNG 12 QUẬN 10",source,1,
"254/15A Lê Văn Thọ, Gò Vấp",source,1,
"258 cao lỗ, 38 Đường 270, Cao Lỗ, P4, Quận 8",source,1,
26 Nguyễn Văn Vĩnh P4 Tân Bình,source,1,
26 Trà Khúc - P Tân Sơn Hoà ( P2 cũ ),source,1,
265/52 NTL - Giỏ Hàng,source,1,
27.29 TTN (6 căn City Land F7 - F10 Gò Vấp),source,1,
"27/19A Nguyễn Bỉnh Khiêm, Gò Vấp",source,1,
"28/4 Trương Công Định, Tân Bình",source,1,
281 DƯƠNG QUẢNG HÀM,source,1,
"281/35/18 Lê Văn Sỹ, Phường 1, Q.Tân Bình",source,1,
281/66 Lê Văn Sỹ,source,1,
"283/28 LÊ ĐỨC THỌ, GÒ VẤP",source,1,
"29 Văn Chung, P13, Tân Bình",source,1,
296/50/4 nguyễn văn lượng,source,1,
296/50/5 Nguyễn Văn Lượng,source,1,
2A Nguyễn Minh Hoàng. Cập nhật phòng trống,source,1,
2A/2 BẠCH ĐẰNG P2 TÂN BÌNH,source,1,
2A/36 Bạch Đằng - Tân Bình - Quân,source,1,
"2A/4 Bạch Đằng, P2, Tân Bình",source,1,
"2A/4 NTMK, P.Đakao, Q.1-CTV Sale",source,1,
"2B Hẻm 58/15 đường số 5 Phường Linh Trung,Thủ Đức",source,1,
2PN 79/51 Thống Nhất P11 Gò Vấp,source,1,
"2T Home: 633/23 Điện Biên Phủ, P1, Q3",source,1,
"30/11 Phó Đức Chính, Quận 1",source,1,
"307/27 Nguyễn Văn Trỗi, P1, Tân Bình",source,1,
"31 Gò Cẩm Đệm, Tân Bình",source,1,
"31/30/6 Lê Lai, P.3, Gò Vấp.",source,1,
"31/47 LÊ LAI, GÒ VẤP",source,1,
"32/89 Phan Sào Nam, Tân Bình",source,1,
324F Lý Thường Kiệt Q10 - JOO HOUSE,source,1,
"326/40 Đường Số 8, Gò Vấp",source,1,
"331/51/84 Phan Huy Ích, P12, Gò Vấp - Cozy HOUSE",source,1,
"331/58B Lê Văn Sĩ , P12 , Q3",source,1,
"333 VÕ THÀNH TRANG, TÂN BÌNH - CO-LIVING TIỆN NGHI",source,1,
"334/37 Nguyễn Văn Nghi, P1, Gò Vấp",source,1,
339/25A Lê Văn Sỹ - Q3 | CHDV Đất Lành,source,1,
33a Nguyễn Văn Mại,source,1,
"34 Bế Văn Đàn, P14, Tân Bình ( CHDV Luxury )",source,1,
34 duong 51 p14 gò vấp. 340/11 phan huy ích,source,1,
"34/11/16 Võ Thị Thừa, An Phú Đông (Q12)",source,1,
"340C/3-5 Hoàng Văn Thụ, P4, Tân Bình",source,1,
344 Huỳnh Tấn Phát,source,1,
"346/22/20 Chu Văn An, BT + 198/78 Đường Số 3, G",source,1,
35 Đặng Tất phường Tân định quận 1 tpHCM,source,1,
35 Đường N8 Kdc Jamona City Q7,source,1,
350/54/34 LÊ ĐỨC THỌ - GV🏠,source,1,
356 Nguyễn Duy Dương P9 Q10 - CHDV,source,1,
"358/2/2 CÁCH MẠNG THÁNG TÁM, QUẬN 3 - SALE PHÒNG",source,1,
"36 Đs 8, P.11 GV (Gần Thống Nhất giao Phan Văn Trị",source,1,
36/15 Giải Phóng & 196/11 Cộng Hoà,source,1,
36/21A Nguyễn Hiền .Q3,source,1,
36/4/3 Huỳnh Văn Nghệ - Tân Bình,source,1,
360 PLUS - DỰ ÁN - TÂN PHÚ,source,1,
360 PLUS - DỰ ÁN 180 PHAN HUY ÍCH - GÒ VẤP,source,1,
"369/4/7 TÔ KÝ ,TMT, Q12. NGAY CVPMQT-SUONGHOME",source,1,
"37/2A/7 ĐƯỜNG C18, P12, TÂN BÌNH",source,1,
37/3 Đường C18. Khu K300. Tân Bình,source,1,
37/3 Đường C18. Tân bình,source,1,
"370/4 HÒA HẢO, P8, Q10 -Central HOUSE",source,1,
"38 Nguyễn Oanh, Gò Vấp",source,1,
38/1A Đinh Tiên Hoàng Q1,source,1,
38/1B Đinh Công Tráng | Saigontro,source,1,
38/2 Nguyễn Giãn Thanh Quận 10,source,1,
38/48/7 Trần Khắc Chân,source,1,
380/37/1E Phạm Văn Chiêu,source,1,
"384 Đường 7A ( TÊN LỬA ), Phường An Lạc, HCM",source,1,
385 Nguyễn Trọng Tuyển,source,1,
